KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
3328,JR ULSTEINVIK AS,BRENDEHAUGEN 4,6065.0,ULSTEINVIK,SJØGATA 34
1090,SPAR LANGEVÅG,7080004404472,901.0,OSLO,FYLLINGVEGEN 9
8073,NOR F. VARD ELECTRO,POSTVEGEN 15 VARD ELECTRO,6018.0,ÅLESUND,TENNFJORDVEGEN 113
6538,STORFJORD GASTROPUB,KYRKJEGATA 1,6200.0,STRANDA,KYRKJEGATA 1
2221,RENEX  AVD MYKLEBUST,TVERRVEGEN 30B,6020.0,ÅLESUND,GURSKEVEGEN 68
9270,JERVELL GJESTEHUS,MUSEUMSVEGEN 2,6015.0,ÅLESUND,MUSEUMSVEGEN 2
9510,MF NORDDALSFJORD,POSTBOKS 354,6902.0,FLORØ,EIDSDAL FERGEKAI
9299,EGON MOA MOANOR,LANGELANDSVEGEN 25,6010.0,ÅLESUND,LANGELANDSVEGEN 25
9272,NAMASTE ÅLESUND,KONGENSGATE 12,6002.0,ÅLESUND,KONGENSGATE 12
7651,Å706 JANNE 1,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7652,Å707 JANNE 2,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7653,Å708 JANNE 3,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7654,Å709 JANNE 4,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7655,Å710 JANNE 5,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7656,Å711 JANNE 6,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
9273,URBANBIRD,SIVSANGERVEGEN 2,6014.0,ÅLESUND,KIPERVIKTORGET
7657,Å712 JANNE 7,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7658,Å713 JANNE 8,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7659,Å714 JANNE 9,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7660,Å715 JANNE 10,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
9274,ABLE CARWASH,ELIAS SMITHS VEI 24,1337.0,SANDVIKA,NØRVEGATA 23
9276,HEMIT ÅLESUND,ABELS GATE 9,7030.0,TRONDHEIM,LANGELANDSVEGEN 1
5979,KAFE SJØATUNET,FJORDVEGEN 4091,6797.0,UTVIK,FJORDVEGEN 4091
9277,NORDAMP ÅLESUND,SANDVIKSBODENE 3A,5035.0,BERGEN,STORGATA 23
3658,MIX SELJE,HOVEVEGEN 127,6740.0,SELJE,HOVEVEGEN 127
3340,FRUENES,HALKJELSGATA 20,6100.0,VOLDA,HALKJELSGATA 20
7322,HASUNDGOT IL,GJERDSBAKKVEGEN 41,6002.0,ÅLESUND,GJERDSBAKKVEGEN 41
764,BRATTVÅG BAKERI OG KONDITORI,BRATTVÅGGATA 63,6270.0,BRATTVÅG,BRATTVÅGGATA 63
9278,ROYAL TUR REISER,ØVRE TUEVEGEN 8,6010.0,ÅLESUND,ØVRE TUEVEGEN 8
2392,HAREID KOMMUNE FELLESKJØKKEN,HAREID KOMMUNE ØKONOMIAVDELING,6060.0,HAREID,TEIGEVEGEN 55
9279,TYRHOLM OG FARSTAD,FLATHOLMEN 11,6002.0,ÅLESUND,FLATHOLMEN 11
2393,NOR F. VARD BRATTVÅG,POSTVEGEN 15 AVD BR.VÅG,6018.0,ÅLESUND,STRANDGATA 74
7619,SEAGEMS NORWAY,SEAGEMS NORWAY,6057.0,ELLINGSØY,BJØRGE INDUSTRIVEG 41
8265,FACILITEC ULSTEINVIK,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,SJØGTATA 98
9280,BRØDRENE DAHL,BEIVIKA INDUSTRIVEG 33,6018.0,ÅLESUND,BEIVIKA INDUSTRIVEG 33
2371,MILLENNIUM KAFE,STRANDGATA 89,6060.0,HAREID,STRANDGATA 89
6717,SOI ONE VOLDA,VIKEBYGDVEGEN 2A,6103.0,VOLDA,VIKEBYGDVEGEN 2A
7325,SNORREBUDA,SJØGATA 62,6065.0,ULSTEINVIK,SJØGATA 62
8266,M SUPPLY 5 ÅLESUND,POSTBOKS 7699 SPJELKAVIK,6022.0,ÅLESUND,TVERRVEGEN 32 C
6086,NF COWORK AS,SYKKYLVSVEGEN 125,6230.0,SYKKYLVEN,SYKKYLVSVEGEN 125
2547,HERØY OMSORGSSENTER 324000,HERØY KOMM. FAKT.MOTTAK B.173,6099.0,FOSNAVÅG,SJUKEHEIMSVEGEN 5
9302,HOLE KJØTT AS,KEISER WILH.GT.30,6003.0,ÅLESUND,KEISER WHILHELMGT. 30
1821,FØNIKS KAFFIHUS,VIKEGATA 36,6150.0,ØRSTA,VIKEGATA 36
7943,KAOS KOLLEKTIVET UNGDOMSHUS,REGNSKAP OG FINANS,6025.0,ÅLESUND,VESTMOA 6
1177,JAFS FOSNAVÅG,HOLMEFJORDVEGEN 6,6090.0,FOSNAVÅG,HOLMEFJORDVEGEN 6
7889,CATS BRYGGEN,KAIVEGEN 1,6770.0,NORDFJORDEID,KAIVEGEN 1
9305,KANTINE TAFJORD KRAFT,TVERRVEGEN 30B,6020.0,ÅLESUND,RETIROVEGEN 4
2985,KJELDSUND,KJELLSUNDVEGEN 111,6080.0,GURSKØY,KJELDSUNDVEGEN 111
8074,NOR F. POSTVEGEN15,"POSTVEGEN 15, AVD POSTV.15",6018.0,ÅLESUND,POSTVEGEN 15
3440,LONGVA SERVICESENTER,ØVSTEVEGEN 70,6293.0,LONGVA,LONGVAFJORDVEGEN 521
1641,VOLDABADET,FAKTURAMOTTAK,6100.0,VOLDA,JOPLASSVEGEN 1D
8018,MF FOLDØY,BØREHAUGEN 1,4006.0,STAVANGER,LARSNES FERGEKAI
1041,FLAMMEN 6770,MELVEGEN 48,6770.0,NORDFJORDEID,EIDSGATA 36
1172,HAVILA SERVICE KANTINE,POSTBOKS 215,6099.0,FOSNAVÅG,MJØLSTADNESVEGEN 24
1968,OLEBUDA,MARÅKVEIEN 28,6216.0,GEIRANGER,MARÅKVEGEN 28
3643,MIX MÅLØY NY,SJØGATA 26,6700.0,MÅLØY,SJØGATA 26
9308,LUCKY BOWL-AVD 26 ÅLESUND,STRANDGATEN 49,4370.0,EGRSUND,KANALVEGEN 1
7591,PHARMA MARINE,TERØY INDUSTRIOMRÅDE 3,6280.0,SØVIK,HÅEMSHØGDA 68
5901,REM-SERVERING,MYKLEBUST 259,6082.0,GURSKEN,KLUBBENESVEGEN 39
7327,ULSTEIN KOMM.RÅDHUSET 110100,REF 110100 ULSTEIN KOMMUNE,6065.0,ULSTEINVIK,"SJØGAGATA 63, REF 110100"
7328,ULSTEIN KOMMUNE TEK.UTESEKSJ.,SJØGATA 63,6065.0,ULSTEINVIK,"STOREHØLVEGEN 7, REF 520100"
9310,FABRIKKEN KULTURSCENE,MOLOVEGEN 22,6004.0,ÅLESUND,MOLOVEGEN 22
1642,KIOSK VOLDA UNGDOMSKLUBB,FAKTURAMOTTAK,6100.0,VOLDA,STORGATA 14
9311,POTETVOGNA IVERSEN,NAUSTBERGET 8,6006.0,ÅLESUND,HENT     (KEISER WHELMS GT 20)
9312,RASOI ÅLESUND,RÅDSTUGATA 3 B,6002.0,ÅLESUND,RÅDSTUGATA 3 B
333,ELMIR PIZZERIA,SJØGATA 62,6065.0,ULSTEINVIK,VÅGSGATA 17
1173,FERGEKAIA FOSNAVÅG,EIKREMSVEGEN 18,6036.0,MAUSEIDVÅG,MYKLEBUSTVEGEN 83
3449,SALONG LONGVA FLEM,LONGVAFJORDVEGEN 409,6293.0,LONGVA,LONGVAFJORDVEGEN 409
5841,SANDETUN - KANTINE,SANDE KOMMUNE,6084.0,LARSNES,
9314,VIDDALS GARTNERI,BRUSDALSVEGEN 304,6011.0,ÅLESUND,BRUSDALSVEGEN 304
9315,CAFÈ HERMAN,RASMUS RØNNEBERGSGATE 21,6002.0,ÅLESUND,GRIMMERGATA 1
1862,KRØNSJI,IVAR AASEN GATE 4,6150.0,ØRSTA,IVAR AASEN GATE 4
8075,NOR F. SKANSEKAIA 4,POSTVEGEN 15 AVD SKANSEKAIA 4,6018.0,ÅLESUND,SKANSEKAIA 4B
6591,FACILITEC RENHOLD NMK,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,BORGUNDVEGEN 340
6592,FACILITEC RENH.KONGS. BRATTVÅG,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,ÅRSUNDVEGEN 24
6593,FACILITEC RENHOLD ULSTEINVIK,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,SJØGTATA 98
6594,FACILITEC RENHOLD HJØRUNGAVÅG,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,HJØRUNGAVÅGVEIEN 137
6595,FACILITEC RENHOLD PIR,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,KEISER WILHELMGATE 22
1063,FELLESKJØPET NORDFJORDEID 4560,ULDEGROVA 11,6770.0,NORDFJORDEID,ULDEGROVA 11
6782,FELLESKJØPET VOLDA 7110,MORKAMYRA 21,6105.0,VOLDA,MORKAMYRA 21
6762,FELLESKJØPET STRYN 4570,STRYNEVEGEN 57,6783.0,STRYN,STRYNEVEGEN 57
9317,FELLESKJØPET ÅLESUND 6110,POSTVEGEN 11,6070.0,TJØRVÅG,POSTVEGEN 11
7329,HADDAL SKULE,SJØGATA 63 220000,6065.0,ULSTEINVIK,RINGSTADDALEN 8
7811,"AVD VATNE, TENNFJORD BHG",,,,GJERDEBAKKEN 55
9319,INDIAN MASALA HOUSE,KONGENSGATE 28A,6002.0,ÅLESUND,KONGENSGATE 28A
7812,LONGVA BARNEHAGE,POSTBOKS 33,6282.0,BRATTVÅG,BARNEHAGEVEGEN 66
9321,KOIWA RAMEN,ÅREGJERDDALEN 8D,6030.0,LANGEVÅG,KONGENSGATE 30
9322,ÅNDALSNES VEISERVICE,7080003057976,901.0,OSLO,HENT-KUN LOKALE VARER
9323,PSS CATERINGSERVICE,GATÅ 129,6040.0,VIGRA,HENTEKUNDE
1064,KAUTO BAR OG RESTAURANT,BRUNVOLLSVEGEN 227,6296.0,HARØY,MAUSAVÅGVEGEN 36
9325,AKADEMIET VGS ÅLES.ELEVKANTINE,POSTBOKS 943,6001.0,ÅLESUND,PARKGATA 11A
9326,AKADEMIET VGS MØRE ANSATTE,POSTBOKS 943,6001.0,ÅLESUND,PARKGATA 11A
1068,CHES MAMAN CRÈPERIE & CAFÈ,POSTBOKS 123,6771.0,NORDFJORDEID,EIDSGATA 2A
1863,BYGG 1 PRODUKTER KANTINE,INDUSTRIVEGEN 32,6155.0,ØRSTA,INDUSTRIVEGEN 32
8080,Å563 TERJE 2,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8081,Å564 TERJE 3,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8082,Å552 TERJE 4,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8083,Å559 TERJE 5,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8084,Å560 TERJE 6,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8085,Å551 ERLING 1,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8086,Å557 ERLING 2,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8087,Å558 ERLING 3,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8088,Å553 ERLING 4,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8089,Å561 ERLING 5,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8090,Å562 ERLING 6,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8091,Å556 ERLING 7,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8092,Å569 BJØRN DAG 1,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8093,Å570 BJØRN DAG 2,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8094,Å571 BJØRN DAG 3,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8095,Å555 BJØRN DAG 4,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8096,Å565 BJØRN DAG 5,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8097,Å566 BJØRN DAG 6,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8098,Å568 BJØRN DAG 7,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8099,Å567 LARS 1,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
9327,EXPRESS PIZZARIA OG GRILL,APOTEKERGATA 8,6004.0,ÅLESUND,APOTEKERGATA 8
9329,BRISK AVD RÅDHUSET,BREIVIKVEGEN 5,6018.0,ÅLESUND,KEISER WILHELMS GATE 11
9330,SJØBUA RESTAURANT,BRUNHOLMGATA 1A,6004.0,ÅLESUND,BRUNHOLMGATA 1A
2937,KIWI 925 MEIERIBYGGET ØRSTA,7080011154360,3412.0,LIERSTANDA,IVAR AASENGT. 7
9331,TYRHOLM OG FARSTAD VAREAUTOMAT,FLATHOLMEN 11,6002.0,ÅLESUND,FLATHOLMEN 11
9332,ISS 460367 NCC MOAVEGEN KANT.,POSTBOKS 2 ØKERN,508.0,OSLO,MOAVEGEN 24
6788,SLICE & BITE,MYRANE 8,6783.0,STRYN,MYRANE 8
9333,AKADEMIET VGS ÅLES. PERSONAL,POSTBOKS 943,6001.0,ÅLESUND,MOLOVEGEN 5
9334,AKADEMIET VGS ÅLES.E PERSONAL,POSTBOKS 943,6001.0,ÅLESUND,MOLOVEGEN5
9335,AKADEMIET VGS ÅLES.MOLO ELEVK.,POSTBOKS 943,6001.0,ÅLESUND,MOLOVEGEN 5
9336,BROOKLYN 24/26,KEISER WILHELMSGT. 24,6003.0,ÅLESUND,KEISER WILHELMSGT. 24/26
1069,FERGEKAIA LANGEVÅG,EIKREMSVEGEN 18,6036.0,MAUSEIDVÅG,DJUPDALEN 10
6544,LILLE SIENA,FURLIVEGEN 175,6200.0,STRANDA,ALLMENNINGEN 4
6028,FERGEKAIA SJØHOLT,EIKREMSVEIEN 18,6036.0,MAUSEIDVÅG,ÅRØYVEGEN 1
7675,FINNVIK GÅRD FRYS,KIPERVIKGATA 13,6003.0,ÅLESUND,LEITENESET 13
1070,FOLE FESTLIG DRIFT,GEILNESET 16,6030.0,LANGEVÅG,GEILNESET 16
9338,460389KANT.VEIDEKKE KONGSHAUG.,POSTBOKS 2 ØKERN,508.0,OSLO,KONGSHAUGSTRANDA 99
9339,DRÅPE FORUM KONGENS GT,KONGENS GATE 24,6040.0,VIGRA,KONGENS GATE 24
2695,BØLGEN BAR & RESTAURANT,INDUSTRIVEGEN 7,6222.0,IKORNNES,INDUSTRIVEGEN 7
3580,JOKER GEIRANGER,7080011166561,901.0,OSLO,MARÅKVEIEN 49
8077,CLAS OHLSON AVD ØRSTA,VIKEØYRANE 4,6150.0,ØRSTA,VIKEØYRANE 4
6864,SØRESTRANDA SKULE,KYRKJEVEGEN 62,6230.0,SYKKYLVEN,IKORNNESVEGEN 15
2634,RAUS RESTAURANT,KEISER WILHELMSGATE 50,6003.0,ÅLESUND,ULLAVIKVEGEN 3
9342,GANGE ROLV KJØKKEN,MOAVEIEN 1,6018.0,ÅLESUND,MOAVEIEN 1
1071,COCO FRISØR,EIDSGATA 25,6770.0,NORDFJORDEID,EIDSGATA 25
3448,OLAVS MATKRO OG PUB,HORNINDALSVEGEN 753,6763.0,HORNINDAL,SANDEN 2
1891,JOKER TOMREFJORD NY,7080011180215,901.0,OSLO,
1864,RJÅNES FERIE OG KONF.SENTER,LIADALSVEGEN 965,6152.0,ØRSTA,LIADALSVEGEN 965
7944,SKARBØVIK DAGSENTER 240040,REGNSKAP OG FINANS,6025.0,ÅLESUND,OLE THORESENSGT. 16
209,MARUTHAM ÅLESUND,HJØRUNGAVÅGVEGEN 2,6063.0,HJØRUNGAVÅG,SKAREGATA 3
2346,HV -11208  ØRSKOGFJELLET,FORSVARET,5886.0,BERGEN,HENTEKUNDE(LEV.KIWI SKODJE)
2347,HV-11210 STORFJORDEN,FORSVARET,5886.0,BERGEN,HENTEKUNDE(LEV.SPAR SYKKYLVEN)
2348,HV-11211 SØRE SUNNMØRE,FORSVARET,5886.0,BERGEN,HENTEKUNDE(LEV.KIWI VOLDA)
2349,HV-11212 ÅLESUND,FORSVARET,5886.0,BERGEN,HENTEKUNDE
8079,MF BOLSØY CATERING 100004,POSTBOKS 354,6902.0,FLORØ,GEIRANGER FERGEKAI
8040,BAMA BLOMSTERTORGER AS,PB 267 ALANBRU,614.0,OSLO,
2372,LØVENS HULE,HAREIDSVEGEN 344,6060.0,HAREID,HAREIDSVEGEN 344
1928,GEIRANGER FJORDSERVICE,GEIRANGERVEGEN 2,6216.0,GEIRANGER,ØRNEVEGEN 5
5092,LOENVATN FERIESENTER KIOSK,LODALSVEGEN 393,6788.0,OLDEN,LODALSVEGEN 393
6750,JULA  AVD 643 FURENE,FURENE 16,6105.0,VOLDA,FURENE 16
9345,JULA AVD 603 ÅLESUND,NORDRE HOLEN 17,6019.0,ÅLESUND,NORDRE HOLEN 17
1688,NOR-LOG AS,GÅSAVIKJA 1,5585.0,SANDEID,
6088,AUTOTECK SYKKYLVEN,KYRKJEVEGEN 200,6230.0,SYKKYLVEN,KYRKJEVEGEN 200
9348,PLANTASJEN ÅLESUND,ØVRE HOLEN,6019.0,ÅLESUND,ØVRE HOLEN
