KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
13095,TREDET,HALKJELSGATA 8,6100.0,VOLDA,HALKJELSGATA 8
9193,RENHOLDSSENTERET AS,BREIVIKA INDUSTRIVEG 9,6018.0,ÅLESUND,BREIVIKA INDUSTRIVEG 9
6457,STRANDAFJELLET REST.DRIFT AS,HEVSDALSVEGEN 520,6200.0,STRANDA,HEVSDALSVEGEN 520
9194,BARNAS HAGE LARSGÅRDEN,POSTBOKS 5011,6021.0,ÅLESUND,NØRVEGJERDET 7
7765,SPAR ULSTEINVIK,7080004241213,901.0,OSLO,ROGNAHAUGEN 1
2672,BRIKSDALSBRE FJELLSTOVE AS,OLDEDALSVEGEN 2211,6792.0,OLDEN,OLDEDALSVEGEN 2211
3438,MARDINI SPISERI,MYKLEBUSTVEGEN 15A,6770.0,NORDFJORDEID,SJØGATA 98
779,SKJELTOLE-TUNET,DALEVEGEN 9,6270.0,BRATTVÅG,SYNNALANDSVEGEN 2
3623,MÅLØY SPISKAMMERS,,6700.0,MÅLØY,"GATE 1, NR 77"
1188,HAVILA CAPELLA,POSTBOKS 215,6099.0,FOSNAVÅG,"SKANSEKAIA, HURTIGRUTETERM."
8110,Å610 BJØRN DAG 11,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8111,Å611 BJØRN DAG 12,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8112,Å612 BJØRN DAG 13,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8113,Å613 BJØRN DAG 14,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8114,Å614 BJØRN DAG 15,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8115,Å615 BJØRN DAG 16,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8116,Å620 ERLING 11,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8117,Å621 ERLING 12,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8118,Å622 ERLING 13,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8119,Å623 ERLING 14,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8120,Å624 ERLING 15,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8121,Å625 ERLING 16,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8245,Å640 TERJE 11,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8246,Å641 TERJE 12,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8247,Å642 TERJE 13,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8248,Å643 TERJE 14,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8251,Å700 EKSTRA 1,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8252,Å701 EKSTRA 2,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8253,Å702 EKSTRA 3,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8254,Å703 EKSTRA 4,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8255,Å704 EKSTRA 5,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8256,Å705 EKSTRA 6,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
7489,NORBRUK VARD SØVIKA,SØVIKNESET 51,6280.0,SØVIK,SØVIKNESET 51
7586,ÅLESUND PADEL,BERNMARKA 3,6016.0,ÅLESUND,ØSTRE GANGSTØVIKA 24
9200,EUROSPAR LARSGÅRDEN,7080004256750,901.0,OSLO,LARSGÅRDSVEIEN 19
7378,EIDSDAL HOTEL& RESTAURANT,EIDSDALVEGEN 96,6215.0,EIDSDAL,EIDSDALVEGEN 96
2220,METIZPORT MYRVAG,DRAGSUNDVEGEN 11F,6080.0,GURSKØY,DRAGSUNDVEGEN 11F
1189,MMC FIRST PROCESS KANTINE,MJØLSTADNESVEGEN 21,6092.0,FOSNAVÅG,MJØLSTADNESVEGEN 21
1190,HAVILA CASTOR,POSTBOKS 215,6099.0,FOSNAVÅG,"SKANSEKAIA, HURTIGRUTETERM."
1842,FRU SVENDSEN KAFE,KYRJEGATA 25,6150.0,ØRSTA,KYRJEGATA 25
7620,NOR F. STOKKE KANTINE,PARKGATA 6,6003.0,ÅLESUND,PARKGATA 6
1843,STØDT,IVAR AASEN GATE 18,6153.0,ØRSTA,IVAR AASEN GATE 18
8057,NOR F. SPAREB. 1 SMN,ST. OLAVSPLASS 1,6002.0,ÅLESUND,ST. OLAVSPLASS 1
5073,RUNDE MILJØSENTER,RUNDEVEGEN 237,6096.0,RUNDE,RUNDEVEGEN 237
8059,NOR F. RØYSEGATA,RØYSEGATA 10,6003.0,ÅLESUND,RØYSEGATA 10
1179,HORISONT RESTAURANT AS,POSTBOKS 281,6090.0,FOSNAVÅG,MJØLSTADNESVEIEN 22
6083,DIS KAFFEBAR,POSTBOKS 106,6239.0,SYKKYLVEN,SKULEVEGEN 11B
1184,HAVILA POLARIS,POSTBOKS 215,6099.0,FOSNAVÅG,"SKANSEKAIA 2, HURTIGRUTETERM."
1824,TIK CAFE & RESTAURANT,VIKEGATA 11,6150.0,ØRSTA,VIKEGATA 11
7587,MMC FIRST PROCESS DIGERNES,DIGERNES NÆRINGSOMRÅDE 21,6260.0,SKODJE,DIGERNES NÆRINGSOMRÅDE 21
13306,NAPOLI PIZZERIA STRYN,VIKAVEGEN 65,6783.0,STRYN,TONNINGSGATA 33
1171,HAVILA SERVICE RESEPSJON,POSTBOKS 215,6099.0,FOSNAVÅG,MJØLSTADNESVEGEN 24
1631,FJORDLY UNGDOMSSENTER,,6711.0,BRYGGJA,
314,STRANDA VIDAREGÅANDE SKULE,HEVSDALSVEGEN 52,6200.0,STRANDA,HEVSDALSVEGEN 52
6644,NILSGARDSTUNET,,6250.0,STORDAL,
8038,NOR F. BERTEL.O STEEN,BYTHAUGEN,6260.0,SKODJE,BYTHAUGEN 20
8203,AKSLA IL,RUUDVEGEN 48/49,6014.0,ÅLESUND,RUUDVEGEN 48/49
7616,MAMMA MIA,STORE-NØRVE 9A,6009.0,ÅLESUND,STORFARVEGEN 69
1372,FACTORY IKORNNES,INDUSTRIVEGEN 1,6222.0,IKORNNES,INDUSTRIVEGEN 1
1377,FACTORY GRODÅS,INDUSTRIVEGEN 1,6222.0,IKORNNES,YTREHORNSVEGEN 35
7395,BRAUD DIGERNES,BRAUD DIGERNES,6280.0,SØVIK,DIGERNES NÆRINGSPARK
7394,BRAUD MOA,BRAUD MOA,6280.0,SØVIK,LANGELANGSVEIEN 25
7635,A. M. VIK AS,SYVDEFJORDSVEGEN 504,6140.0,SYVDE,SYVDEFJORDSVEGEN 504
7494,SUBSEA 7 VIGRA SPOOLBASE,KANALSLETTA 9 MRK TBC,4033.0,STAVANGER,SØRESTRANDA 11
2373,POSTEN RESTAURANT OG BAR,KJØPMANNSGATA 28,6060.0,HAREID,KJØPMANNSGATA 28
1847,DET LILLE NAPOLI ØRSTA,ANDERS AARSÆTER-GATE 2,6150.0,ØRSTA,ANDERS AARSÆTER-GATE 2
2943,BUNNPRIS NØRVE,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,NØRVEGATA 11
6084,SOL CAFÈ,SMEDSPLASSVEGEN 6,6230.0,SYKKYLVEN,SYKKYLVSVEGEN 585
9242,KIRKENS BYMISJON AVD. 37900,"C/O FAKTURAMOTTAK,PB 2758",7439.0,TRONDHEIM,PARKGATA 9
2615,FJORD GUIDING AS,HANTVEIT 257,5960.0,DALSØYRA,HELLESYLTVEGEN 64
9243,PATOGEN,RASMUS RØNNEBERGS GATE 21,6002.0,ÅLESUND,RASMUS RØNNEBERGS GATE 21
